,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC190003,Colin,-32.2,12.39,1010.48,17.0,9.85,-25.24,17.78,1900-09-09 18:00:00,Tropical
1,TC190003,Colin,-33.72,12.32,1012.26,15.8,8.69,3.49,28.41,1900-09-10 00:00:00,Tropical
2,TC190003,Colin,-34.72,12.33,1010.48,18.1,8.78,4.94,31.79,1900-09-10 06:00:00,Tropical
3,TC190003,Colin,-36.53,12.93,1010.83,21.2,8.82,11.28,30.95,1900-09-10 12:00:00,Tropical
4,TC190003,Colin,-38.63,13.63,1008.41,21.8,8.53,29.05,24.23,1900-09-10 18:00:00,Tropical
5,TC190003,Colin,-41.07,14.18,1009.59,23.6,8.04,52.83,34.94,1900-09-11 00:00:00,Tropical
6,TC190003,Colin,-43.66,14.44,1004.83,28.4,6.76,77.58,46.05,1900-09-11 06:00:00,Tropical
7,TC190003,Colin,-46.13,14.37,1000.66,33.3,5.28,107.1,69.79,1900-09-11 12:00:00,Tropical
8,TC190003,Colin,-48.07,14.89,996.49,37.5,2.72,139.02,82.92,1900-09-11 18:00:00,Tropical
9,TC190003,Colin,-49.98,15.28,988.58,39.9,0.43,162.36,95.93,1900-09-12 00:00:00,Tropical
10,TC190003,Colin,-52.06,15.95,993.85,42.2,-1.79,181.6,89.54,1900-09-12 06:00:00,Tropical
11,TC190003,Colin,-54.16,16.6,997.87,40.7,-3.05,191.78,77.12,1900-09-12 12:00:00,Tropical
12,TC190003,Colin,-57.05,17.43,999.06,37.2,-4.6,197.45,43.58,1900-09-12 18:00:00,Tropical
13,TC190003,Colin,-59.19,18.01,1000.21,32.6,-4.76,205.23,41.76,1900-09-13 00:00:00,Tropical
14,TC190003,Colin,-61.35,18.56,995.06,38.0,-3.06,214.38,50.15,1900-09-13 06:00:00,Tropical
15,TC190003,Colin,-63.51,19.07,993.05,39.5,-1.68,221.15,74.05,1900-09-13 12:00:00,Tropical
16,TC190003,Colin,-65.56,19.38,987.6,42.3,-1.33,229.31,95.32,1900-09-13 18:00:00,Tropical
17,TC190003,Colin,-67.12,19.56,978.75,55.3,-1.2,229.98,136.43,1900-09-14 00:00:00,Tropical
18,TC190003,Colin,-68.62,19.76,978.21,46.5,-1.55,229.29,153.16,1900-09-14 06:00:00,Tropical
19,TC190003,Colin,-70.0,20.41,971.69,48.4,-3.71,236.81,180.7,1900-09-14 12:00:00,Tropical
20,TC190003,Colin,-71.63,21.37,976.9,49.3,-5.26,238.84,202.03,1900-09-14 18:00:00,Tropical
21,TC190003,Colin,-73.34,22.42,971.48,53.2,-7.06,251.95,241.14,1900-09-15 00:00:00,Tropical
22,TC190003,Colin,-74.67,22.92,962.81,59.6,-8.2,270.99,266.17,1900-09-15 06:00:00,Tropical
23,TC190003,Colin,-75.91,23.86,956.13,73.4,-9.69,284.0,272.68,1900-09-15 12:00:00,Tropical
24,TC190003,Colin,-77.15,24.55,943.73,64.9,-12.39,292.25,258.09,1900-09-15 18:00:00,Tropical
25,TC190003,Colin,-77.94,25.57,963.15,61.9,-13.53,307.72,242.37,1900-09-16 00:00:00,Tropical
26,TC190003,Colin,-78.58,26.03,969.36,55.8,-12.06,311.47,233.04,1900-09-16 06:00:00,Tropical
27,TC190003,Colin,-78.88,26.75,968.64,50.9,-7.92,317.25,219.96,1900-09-16 12:00:00,Tropical
28,TC190003,Colin,-78.91,27.68,962.04,62.4,-5.79,336.34,232.06,1900-09-16 18:00:00,Tropical
29,TC190003,Colin,-78.38,28.6,963.91,53.9,1.33,337.23,247.68,1900-09-17 00:00:00,Tropical
30,TC190003,Colin,-78.56,29.16,963.11,49.9,5.4,338.59,265.92,1900-09-17 06:00:00,Tropical
31,TC190003,Colin,-78.07,29.78,964.09,52.6,10.49,333.94,268.57,1900-09-17 12:00:00,Tropical
32,TC190003,Colin,-77.81,30.68,960.08,53.7,12.29,328.9,281.1,1900-09-17 18:00:00,Tropical
33,TC190003,Colin,-77.17,31.14,952.06,57.0,16.93,317.84,304.92,1900-09-18 00:00:00,Transition
34,TC190003,Colin,-76.38,31.96,955.52,53.6,18.34,317.89,330.35,1900-09-18 06:00:00,Transition
35,TC190003,Colin,-75.6,32.93,947.63,52.8,20.23,318.16,355.02,1900-09-18 12:00:00,Transition
36,TC190003,Colin,-74.57,34.16,941.42,61.5,19.73,322.67,380.41,1900-09-18 18:00:00,Transition
37,TC190003,Colin,-73.12,35.8,935.8,61.0,19.85,317.81,399.11,1900-09-19 00:00:00,Transition
38,TC190003,Colin,-72.24,37.55,935.05,57.5,19.33,290.03,402.84,1900-09-19 06:00:00,Transition
39,TC190003,Colin,-70.67,39.42,934.83,56.2,18.42,235.4,392.8,1900-09-19 12:00:00,Transition
40,TC190003,Colin,-68.7,41.44,941.84,52.4,16.83,149.0,350.05,1900-09-19 18:00:00,Transition
41,TC190003,Colin,-66.77,43.35,950.94,45.3,16.07,73.58,287.47,1900-09-20 00:00:00,Transition
42,TC190003,Colin,-64.38,45.37,973.13,35.2,17.04,4.37,213.81,1900-09-20 06:00:00,Transition
43,TC190003,Colin,-62.68,47.61,979.68,28.8,20.96,-44.52,135.53,1900-09-20 12:00:00,Extratropical
44,TC190003,Colin,-60.41,49.34,981.64,27.4,28.29,-73.64,73.18,1900-09-20 18:00:00,Extratropical
45,TC190004,Dawn,-80.58,19.22,1005.24,24.1,-6.66,39.75,-51.91,1900-10-29 00:00:00,Tropical
46,TC190004,Dawn,-82.96,19.14,1007.17,20.1,1.81,29.87,-20.83,1900-10-29 06:00:00,Tropical
47,TC190004,Dawn,-84.21,18.39,1006.0,19.2,1.32,25.38,-19.17,1900-10-29 12:00:00,Tropical
48,TC190004,Dawn,-85.46,17.64,1004.84,18.3,1.2,31.75,-16.06,1900-10-29 18:00:00,Tropical
49,TC190004,Dawn,-86.71,16.89,1003.67,17.3,2.2,31.42,-4.51,1900-10-30 00:00:00,Tropical
50,TC190004,Dawn,-87.57,16.78,1003.15,21.3,1.37,34.57,1.16,1900-10-30 06:00:00,Tropical
51,TC190004,Dawn,-88.38,16.95,1005.92,20.4,-0.01,38.38,3.69,1900-10-30 12:00:00,Tropical
52,TC190004,Dawn,-89.61,16.99,1008.68,9.7,-0.62,46.1,7.13,1900-10-30 18:00:00,Tropical
53,TC190004,Dawn,-90.17,17.38,1007.31,9.1,-0.6,37.15,13.14,1900-10-31 00:00:00,Tropical
54,TC190004,Dawn,-90.94,17.82,1008.57,10.2,-0.41,44.26,14.01,1900-10-31 06:00:00,Tropical
55,TC190004,Dawn,-91.95,19.11,1006.78,18.8,-0.73,51.8,15.23,1900-10-31 12:00:00,Tropical
56,TC190004,Dawn,-92.91,20.31,1006.92,22.6,-1.32,64.7,10.87,1900-10-31 18:00:00,Tropical
57,TC190004,Dawn,-93.94,20.93,1004.64,19.0,-0.75,87.54,5.34,1900-11-01 00:00:00,Tropical
58,TC190004,Dawn,-94.68,20.68,1005.09,21.4,-1.83,110.87,1.7,1900-11-01 06:00:00,Tropical
59,TC190004,Dawn,-94.57,20.54,1001.44,24.8,0.06,119.01,2.91,1900-11-01 12:00:00,Tropical
60,TC190004,Dawn,-94.68,20.68,1001.89,25.6,1.98,137.6,11.48,1900-11-01 18:00:00,Tropical
61,TC190004,Dawn,-94.55,20.83,997.99,28.5,5.22,160.7,26.39,1900-11-02 00:00:00,Tropical
62,TC190004,Dawn,-94.55,20.83,995.6,30.7,8.26,170.51,52.15,1900-11-02 06:00:00,Tropical
63,TC190004,Dawn,-94.06,21.08,990.33,33.1,11.2,191.35,95.93,1900-11-02 12:00:00,Tropical
64,TC190004,Dawn,-93.66,21.23,985.44,41.4,9.45,212.42,140.25,1900-11-02 18:00:00,Tropical
65,TC190004,Dawn,-92.97,21.24,967.74,46.5,9.39,219.92,174.48,1900-11-03 00:00:00,Tropical
66,TC190004,Dawn,-92.39,20.85,968.28,52.3,7.36,220.19,216.14,1900-11-03 06:00:00,Tropical
67,TC190004,Dawn,-91.85,20.7,966.77,54.4,5.24,216.66,247.91,1900-11-03 12:00:00,Tropical
68,TC190004,Dawn,-91.73,20.56,960.99,54.0,3.13,208.18,253.89,1900-11-03 18:00:00,Tropical
69,TC190004,Dawn,-91.58,20.7,948.88,54.9,2.77,203.55,260.89,1900-11-04 00:00:00,Tropical
70,TC190004,Dawn,-91.44,20.85,951.06,64.0,2.02,197.71,265.47,1900-11-04 06:00:00,Tropical
71,TC190004,Dawn,-91.37,21.62,950.71,55.6,2.59,189.43,272.03,1900-11-04 12:00:00,Tropical
72,TC190004,Dawn,-90.93,22.59,960.86,66.2,2.9,189.09,278.25,1900-11-04 18:00:00,Tropical
73,TC190004,Dawn,-90.34,23.9,952.3,57.4,5.2,210.33,284.29,1900-11-05 00:00:00,Tropical
74,TC190004,Dawn,-88.73,25.46,956.07,57.3,9.89,212.31,264.32,1900-11-05 06:00:00,Tropical
75,TC190004,Dawn,-87.08,27.0,954.74,55.3,16.35,198.25,216.15,1900-11-05 12:00:00,Transition
76,TC190004,Dawn,-84.45,28.61,971.03,59.0,23.0,188.55,142.75,1900-11-05 18:00:00,Transition
77,TC190004,Dawn,-81.45,29.83,985.42,37.4,29.75,149.49,61.51,1900-11-06 00:00:00,Transition
78,TC190004,Dawn,-78.02,30.26,988.02,39.8,37.75,59.66,-12.35,1900-11-06 06:00:00,Transition
79,TC190004,Dawn,-74.44,30.88,992.74,33.4,44.5,-21.51,-63.05,1900-11-06 12:00:00,Extratropical
80,TC190004,Dawn,-70.1,31.39,995.46,33.7,50.7,-94.29,-77.97,1900-11-06 18:00:00,Extratropical
81,TC190004,Dawn,-65.76,31.9,998.19,34.0,58.22,-185.56,-93.28,1900-11-07 00:00:00,Extratropical
82,TC190004,Dawn,-60.21,33.05,997.76,28.3,64.48,-252.18,-107.35,1900-11-07 06:00:00,Extratropical
83,TC190004,Dawn,-56.13,34.1,998.7,27.1,69.03,-291.83,-132.26,1900-11-07 12:00:00,Extratropical
84,TC190004,Dawn,-51.75,35.25,1000.74,25.2,71.53,-316.39,-164.16,1900-11-07 18:00:00,Extratropical
85,TC190004,Dawn,-47.0,36.75,1002.87,24.1,70.93,-330.32,-192.72,1900-11-08 00:00:00,Extratropical
86,TC190004,Dawn,-41.75,38.5,1003.81,23.9,69.77,-333.31,-206.57,1900-11-08 06:00:00,Extratropical
87,TC190004,Dawn,-36.75,40.0,1007.04,20.2,67.56,-323.66,-222.76,1900-11-08 12:00:00,Extratropical
88,TC190004,Dawn,-32.25,42.0,1006.79,19.6,64.22,-310.94,-235.3,1900-11-08 18:00:00,Extratropical
