,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC190001,Alex,A,3,1900-07-03 18:00:00,1900-07-03 18:00:00,1900-06-25 06:00:00,1900-06-25 06:00:00,1900-06-19 18:00:00,987.41,-84.91,29.95,987.41,-84.91,29.95,1015.57,-90.75,36.25,1015.57,-90.75,36.25,1015.45,-82.26,27.79
1,TC190002,Beatrice,A,0,1900-08-17 06:00:00,,1900-08-14 06:00:00,1900-08-14 06:00:00,1900-08-09 06:00:00,887.54,-70.56,27.22,887.54,-70.56,27.22,956.4,-62.06,44.15,,,,1006.0,-41.87,12.78
2,TC190003,Colin,A,1,1900-09-18 00:00:00,1900-09-20 12:00:00,1900-09-19 12:00:00,1900-09-15 18:00:00,1900-09-10 00:00:00,934.83,-70.67,39.42,943.73,-77.15,24.55,952.06,-77.17,31.14,979.68,-62.68,47.61,1012.26,-33.72,12.32
3,TC190004,Dawn,A,1,1900-11-05 12:00:00,1900-11-06 12:00:00,1900-11-04 00:00:00,1900-11-04 00:00:00,1900-10-29 06:00:00,948.88,-91.58,20.7,948.88,-91.58,20.7,954.74,-87.08,27.0,992.74,-74.44,30.88,1007.17,-82.96,19.14
4,TC190005,Ernest,A,1,1900-11-06 00:00:00,1900-11-08 00:00:00,1900-11-06 18:00:00,1900-11-05 00:00:00,1900-11-01 00:00:00,988.17,-20.93,46.12,994.44,-32.46,35.66,996.02,-27.73,41.42,998.22,-9.0,45.0,1001.78,-36.21,27.73
5,TC190101,Grace,A,0,1901-05-24 12:00:00,,1901-05-22 18:00:00,1901-05-22 18:00:00,1901-05-17 06:00:00,962.99,-86.73,26.6,962.99,-86.73,26.6,1000.16,-82.33,33.11,,,,998.32,-77.01,16.56
6,TC190102,Harrison,A,1,1901-05-28 12:00:00,1901-05-30 18:00:00,1901-05-27 06:00:00,1901-05-27 06:00:00,1901-05-23 06:00:00,980.89,-51.83,25.92,980.89,-51.83,25.92,991.56,-43.71,30.04,1008.78,-34.75,24.0,1013.62,-53.0,22.62
7,TC190104,Kinen,A,0,1901-09-11 00:00:00,,1901-09-13 06:00:00,1901-09-10 18:00:00,1901-09-09 00:00:00,998.95,-56.51,42.98,1003.84,-64.71,32.24,1002.26,-63.91,33.16,,,,1013.01,-66.42,29.08
8,TC190105,Lydia,A,0,1901-09-27 12:00:00,,1901-09-24 00:00:00,1901-09-24 00:00:00,1901-09-11 18:00:00,913.33,-60.97,29.81,913.33,-60.97,29.81,953.76,-53.37,39.19,,,,1006.33,-18.17,13.59
9,TC190106,Mario,A,1,1901-09-22 00:00:00,1901-09-22 18:00:00,1901-09-22 12:00:00,1901-09-21 18:00:00,1901-09-19 06:00:00,988.8,-74.39,39.5,994.66,-79.34,34.42,993.69,-78.47,35.78,991.98,-71.2,41.68,1008.53,-78.71,26.19
10,TC190107,Nicole,A,2,1901-10-14 12:00:00,1901-10-15 00:00:00,1901-10-05 18:00:00,1901-10-05 18:00:00,1901-10-04 12:00:00,974.56,-72.08,36.71,974.56,-72.08,36.71,1015.94,-22.0,42.0,1019.52,-26.0,41.25,1006.2,-74.9,31.78
11,TC190109,Song,A,1,1901-12-14 00:00:00,1901-12-14 06:00:00,1901-12-11 06:00:00,1901-12-11 06:00:00,1901-12-10 12:00:00,942.03,-48.79,45.54,942.03,-48.79,45.54,975.2,-32.75,47.0,975.97,-30.25,47.75,967.34,-43.73,44.24
12,TC190202,Victoria,A,1,1902-02-27 18:00:00,1902-03-01 06:00:00,1902-02-28 06:00:00,1902-02-27 06:00:00,1902-02-24 00:00:00,982.6,-36.83,34.55,985.6,-45.17,28.7,983.75,-41.97,31.22,986.87,-28.04,44.92,1000.36,-53.91,25.38
13,TC190203,Audrey,A,1,1902-07-17 06:00:00,1902-07-19 06:00:00,1902-07-17 12:00:00,1902-07-17 00:00:00,1902-07-14 00:00:00,985.86,-65.64,36.71,991.46,-70.85,34.4,986.01,-68.16,35.32,1006.04,-36.25,46.25,1011.01,-76.16,31.16
14,TC190204,Brandon,A,2,1902-07-19 18:00:00,1902-07-21 00:00:00,1902-07-18 18:00:00,1902-07-18 18:00:00,1902-07-15 18:00:00,982.74,-66.85,34.65,982.74,-66.85,34.65,998.56,-57.66,41.76,1008.07,-54.18,41.82,1009.72,-88.55,28.98
15,TC190205,Christine,A,1,1902-08-09 18:00:00,1902-08-11 06:00:00,1902-08-09 00:00:00,1902-08-09 00:00:00,1902-07-31 06:00:00,937.59,-71.89,30.96,937.59,-71.89,30.96,937.69,-68.53,35.77,989.14,-55.91,49.81,1012.44,-39.55,16.66
16,TC190209,Hope,A,0,1902-10-30 00:00:00,,1902-10-27 06:00:00,1902-10-27 06:00:00,1902-10-27 00:00:00,985.57,-49.05,42.31,985.57,-49.05,42.31,994.75,-37.75,51.75,,,,991.61,-49.62,41.55
17,TC190301,Jacob,A,0,1903-04-11 18:00:00,,1903-04-10 06:00:00,1903-04-10 06:00:00,1903-04-07 06:00:00,975.1,-49.3,42.23,975.1,-49.3,42.23,982.11,-35.0,50.5,,,,1005.83,-75.6,37.32
18,TC190302,Katrina,A,-1,,,1903-05-11 06:00:00,1903-05-11 06:00:00,1903-05-11 00:00:00,976.11,-61.38,37.08,976.11,-61.38,37.08,,,,,,,978.33,-63.14,36.61
19,TC190303,Luke,A,1,1903-06-09 12:00:00,1903-06-10 00:00:00,1903-06-08 12:00:00,1903-06-08 12:00:00,1903-05-31 06:00:00,963.85,-52.67,36.61,963.85,-52.67,36.61,987.58,-46.5,41.73,1002.57,-42.68,44.83,1007.01,-69.62,28.97
20,TC190304,Maho,A,2,1903-07-13 18:00:00,1903-07-14 00:00:00,1903-07-15 00:00:00,1903-07-13 06:00:00,1903-07-11 06:00:00,990.97,-41.0,54.0,1005.71,-65.29,39.58,1004.29,-60.24,42.8,1002.16,-56.84,44.16,1008.54,-74.44,39.0
21,TC190305,Nicholas,A,3,1903-08-27 00:00:00,1903-08-27 00:00:00,1903-08-19 18:00:00,1903-08-19 18:00:00,1903-08-10 00:00:00,938.15,-73.46,22.59,938.15,-73.46,22.59,1003.11,-84.78,42.99,1003.11,-84.78,42.99,1012.06,-26.14,8.54
22,TC190306,Peach,A,0,1903-09-02 00:00:00,,1903-08-31 18:00:00,1903-08-31 18:00:00,1903-08-26 12:00:00,919.77,-63.84,32.06,919.77,-63.84,32.06,944.63,-62.08,35.62,,,,1010.7,-50.51,14.19
23,TC190307,Samson,A,1,1903-11-18 18:00:00,1903-11-19 00:00:00,1903-11-19 12:00:00,1903-11-18 12:00:00,1903-11-16 00:00:00,987.84,-37.11,46.19,990.79,-49.67,35.08,991.45,-47.91,36.75,994.35,-45.24,39.2,1008.56,-53.4,30.24
24,TC190401,Tiffany,A,1,1904-04-30 06:00:00,1904-04-30 18:00:00,1904-04-30 18:00:00,1904-04-27 00:00:00,1904-04-25 06:00:00,986.34,-53.79,46.05,993.41,-68.9,31.64,990.85,-58.9,40.8,986.34,-53.79,46.05,1005.96,-72.65,26.06
25,TC190403,Andy,A,3,1904-07-01 06:00:00,1904-07-01 06:00:00,1904-07-05 00:00:00,1904-06-30 06:00:00,1904-06-28 12:00:00,911.89,-91.3,28.37,1008.69,-70.49,29.75,1008.99,-73.54,29.2,1008.99,-73.54,29.2,1016.35,-65.47,30.52
