,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC190003,Colin,A,1,1900-09-18 00:00:00,1900-09-20 12:00:00,1900-09-19 12:00:00,1900-09-15 18:00:00,1900-09-10 00:00:00,934.83,-70.67,39.42,943.73,-77.15,24.55,952.06,-77.17,31.14,979.68,-62.68,47.61,1012.26,-33.72,12.32
1,TC190004,Dawn,A,1,1900-11-05 12:00:00,1900-11-06 12:00:00,1900-11-04 00:00:00,1900-11-04 00:00:00,1900-10-29 06:00:00,948.88,-91.58,20.7,948.88,-91.58,20.7,954.74,-87.08,27.0,992.74,-74.44,30.88,1007.17,-82.96,19.14
2,TC190202,Victoria,A,1,1902-02-27 18:00:00,1902-03-01 06:00:00,1902-02-28 06:00:00,1902-02-27 06:00:00,1902-02-24 00:00:00,982.6,-36.83,34.55,985.6,-45.17,28.7,983.75,-41.97,31.22,986.87,-28.04,44.92,1000.36,-53.91,25.38
3,TC190205,Christine,A,1,1902-08-09 18:00:00,1902-08-11 06:00:00,1902-08-09 00:00:00,1902-08-09 00:00:00,1902-07-31 06:00:00,937.59,-71.89,30.96,937.59,-71.89,30.96,937.69,-68.53,35.77,989.14,-55.91,49.81,1012.44,-39.55,16.66
4,TC190303,Luke,A,1,1903-06-09 12:00:00,1903-06-10 00:00:00,1903-06-08 12:00:00,1903-06-08 12:00:00,1903-05-31 06:00:00,963.85,-52.67,36.61,963.85,-52.67,36.61,987.58,-46.5,41.73,1002.57,-42.68,44.83,1007.01,-69.62,28.97
5,TC190406,Dorcas,A,1,1904-09-11 12:00:00,1904-09-15 00:00:00,1904-09-09 06:00:00,1904-09-09 06:00:00,1904-08-31 06:00:00,930.07,-50.7,27.25,930.07,-50.7,27.25,951.4,-53.53,37.47,971.99,-16.23,50.35,1003.82,-18.96,15.43
6,TC190503,Josie,A,1,1905-06-04 12:00:00,1905-06-09 00:00:00,1905-06-03 00:00:00,1905-06-03 00:00:00,1905-05-27 18:00:00,926.29,-83.44,26.25,926.29,-83.44,26.25,955.13,-76.67,31.76,986.18,-36.37,45.4,1004.33,-86.52,20.72
7,TC190510,Thomas,A,1,1905-09-29 00:00:00,1905-09-29 06:00:00,1905-09-25 18:00:00,1905-09-25 18:00:00,1905-09-19 00:00:00,969.88,-58.33,31.37,969.88,-58.33,31.37,998.3,-56.5,41.75,999.23,-55.0,44.0,1010.93,-43.73,24.42
8,TC190611,Nathan,A,3,1906-10-19 06:00:00,1906-10-19 06:00:00,1906-10-14 12:00:00,1906-10-14 12:00:00,1906-10-10 00:00:00,930.56,-71.98,28.13,930.56,-71.98,28.13,995.34,-72.7,38.9,995.34,-72.7,38.9,1008.48,-69.67,23.28
9,TC190804,Alissa,A,1,1908-10-05 18:00:00,1908-10-07 06:00:00,1908-10-04 18:00:00,1908-10-04 18:00:00,1908-09-23 00:00:00,970.06,-60.48,30.54,970.06,-60.48,30.54,987.69,-55.22,34.26,991.82,-35.25,46.75,1004.12,-18.48,11.51
10,TC191005,Tracy,A,1,1910-08-15 06:00:00,1910-08-17 00:00:00,1910-08-07 18:00:00,1910-08-07 18:00:00,1910-07-31 00:00:00,920.17,-79.15,25.85,920.17,-79.15,25.85,997.55,-69.82,40.58,1001.96,-62.0,47.75,1006.87,-35.33,12.42
