,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC200001,Alex,-46.32,40.22,977.46,30.4,53.67,14.11,-119.12,2000-01-12 18:00:00,Tropical
1,TC200001,Alex,-45.03,40.61,976.39,28.2,35.5,62.49,-29.68,2000-01-13 00:00:00,Tropical
2,TC200001,Alex,-43.77,40.75,973.33,30.2,36.61,59.14,-32.8,2000-01-13 06:00:00,Tropical
3,TC200001,Alex,-41.65,40.23,975.3,27.8,33.99,50.12,-37.82,2000-01-13 12:00:00,Tropical
4,TC200001,Alex,-38.96,40.16,976.23,24.9,28.15,46.27,-29.63,2000-01-13 18:00:00,Tropical
5,TC200001,Alex,-36.79,39.94,978.07,24.3,24.28,44.65,-42.67,2000-01-14 00:00:00,Tropical
6,TC200001,Alex,-34.62,39.69,979.67,24.2,13.73,31.43,-56.11,2000-01-14 06:00:00,Tropical
7,TC200001,Alex,-32.99,39.31,983.38,27.4,10.32,23.3,-68.23,2000-01-14 12:00:00,Tropical
8,TC200001,Alex,-32.58,34.19,982.63,29.2,10.56,34.23,-85.45,2000-01-14 18:00:00,Tropical
9,TC200001,Alex,-30.02,34.98,983.09,27.0,10.02,54.04,-100.84,2000-01-15 00:00:00,Tropical
10,TC200001,Alex,-28.66,35.78,984.57,25.4,8.77,70.11,-100.32,2000-01-15 06:00:00,Tropical
11,TC200001,Alex,-27.45,35.83,987.63,29.9,13.83,106.27,-86.95,2000-01-15 12:00:00,Tropical
12,TC200001,Alex,-26.21,35.75,987.03,29.4,9.28,129.11,-79.39,2000-01-15 18:00:00,Tropical
13,TC200001,Alex,-25.11,35.28,990.07,28.7,4.59,117.21,-69.84,2000-01-16 00:00:00,Tropical
14,TC200001,Alex,-23.97,34.63,990.53,25.4,5.23,87.93,-72.68,2000-01-16 06:00:00,Tropical
15,TC200001,Alex,-22.46,34.05,994.68,25.8,7.41,39.33,-78.33,2000-01-16 12:00:00,Tropical
16,TC200001,Alex,-20.5,34.25,997.12,24.9,11.85,-3.07,-98.27,2000-01-16 18:00:00,Transition
17,TC200001,Alex,-18.5,35.5,1001.61,16.6,16.67,-27.48,-107.71,2000-01-17 00:00:00,Extratropical
18,TC200001,Alex,-17.0,37.5,1002.83,21.2,19.13,-33.59,-111.28,2000-01-17 06:00:00,Extratropical
19,TC200001,Alex,-16.5,39.0,1005.67,20.8,18.16,-44.11,-104.17,2000-01-17 12:00:00,Extratropical
20,TC200001,Alex,-15.0,40.5,1006.93,16.0,17.72,-45.89,-102.77,2000-01-17 18:00:00,Extratropical
21,TC200001,Alex,-14.25,41.5,1010.1,18.4,19.02,-55.81,-102.61,2000-01-18 00:00:00,Extratropical
22,TC200001,Alex,-13.75,42.0,1011.13,17.4,20.66,-71.38,-99.47,2000-01-18 06:00:00,Extratropical
23,TC200001,Alex,-13.0,42.5,1015.4,15.4,21.14,-84.78,-100.48,2000-01-18 12:00:00,Extratropical
24,TC200002,Beatrice,-55.37,40.08,977.86,32.2,5.32,201.99,-6.09,2000-01-29 12:00:00,Tropical
25,TC200002,Beatrice,-52.23,39.59,980.02,29.0,2.3,71.68,-55.84,2000-01-29 18:00:00,Tropical
26,TC200002,Beatrice,-49.08,39.11,982.18,25.8,3.7,84.81,-58.39,2000-01-30 00:00:00,Tropical
27,TC200002,Beatrice,-47.4,38.08,982.4,25.5,0.85,108.31,-52.81,2000-01-30 06:00:00,Tropical
28,TC200002,Beatrice,-45.73,37.48,984.52,28.3,-1.83,104.6,-40.73,2000-01-30 12:00:00,Tropical
29,TC200002,Beatrice,-44.4,36.9,985.97,27.1,-5.11,117.41,-28.42,2000-01-30 18:00:00,Tropical
30,TC200002,Beatrice,-43.06,36.33,987.42,25.9,-3.46,117.49,-12.46,2000-01-31 00:00:00,Tropical
31,TC200002,Beatrice,-41.84,35.37,987.85,21.7,-4.05,99.45,5.08,2000-01-31 06:00:00,Tropical
32,TC200002,Beatrice,-40.79,34.71,990.65,20.1,-2.95,71.43,9.64,2000-01-31 12:00:00,Tropical
33,TC200002,Beatrice,-40.14,33.37,990.4,20.1,-0.16,46.31,-1.67,2000-01-31 18:00:00,Tropical
34,TC200002,Beatrice,-39.28,32.1,993.04,20.8,3.7,24.79,-25.35,2000-02-01 00:00:00,Tropical
35,TC200002,Beatrice,-37.63,31.09,992.81,19.8,6.08,5.85,-56.21,2000-02-01 06:00:00,Tropical
36,TC200002,Beatrice,-35.8,30.56,995.86,17.1,8.29,-8.73,-92.86,2000-02-01 12:00:00,Transition
37,TC200002,Beatrice,-33.66,30.44,996.53,18.7,10.49,-16.09,-117.71,2000-02-01 18:00:00,Transition
38,TC200002,Beatrice,-31.0,30.75,1001.39,25.1,11.06,-16.6,-131.63,2000-02-02 00:00:00,Transition
39,TC200003,Colin,-54.74,32.41,983.47,28.3,35.83,53.18,-197.48,2000-02-25 00:00:00,Tropical
40,TC200003,Colin,-52.95,32.72,978.58,31.9,-1.0,190.32,-78.36,2000-02-25 06:00:00,Tropical
41,TC200003,Colin,-51.79,32.0,978.39,37.1,3.89,184.89,-74.41,2000-02-25 12:00:00,Tropical
42,TC200003,Colin,-50.79,30.76,977.39,34.7,5.8,150.59,-70.89,2000-02-25 18:00:00,Tropical
43,TC200003,Colin,-48.85,30.27,978.87,31.2,4.1,116.79,-49.7,2000-02-26 00:00:00,Tropical
44,TC200003,Colin,-46.43,29.82,978.92,28.1,9.38,93.16,-31.94,2000-02-26 06:00:00,Tropical
45,TC200003,Colin,-44.14,30.9,979.54,28.3,18.86,86.23,-3.32,2000-02-26 12:00:00,Tropical
46,TC200003,Colin,-43.1,32.63,978.65,25.4,23.04,98.69,28.2,2000-02-26 18:00:00,Tropical
47,TC200003,Colin,-42.83,32.94,977.39,31.4,20.46,120.08,60.42,2000-02-27 00:00:00,Tropical
48,TC200003,Colin,-42.98,33.24,973.27,30.6,16.66,138.32,77.16,2000-02-27 06:00:00,Tropical
49,TC200003,Colin,-42.75,33.31,976.12,27.3,12.34,142.83,92.26,2000-02-27 12:00:00,Tropical
50,TC200003,Colin,-41.87,34.03,976.21,26.6,7.39,137.19,94.35,2000-02-27 18:00:00,Tropical
51,TC200003,Colin,-41.13,35.37,978.39,25.2,3.31,121.34,92.82,2000-02-28 00:00:00,Tropical
52,TC200003,Colin,-40.45,36.0,977.62,24.5,3.85,123.76,95.51,2000-02-28 06:00:00,Tropical
53,TC200003,Colin,-39.91,36.91,978.63,25.4,5.64,135.1,100.61,2000-02-28 12:00:00,Tropical
54,TC200003,Colin,-38.93,37.51,976.49,25.3,5.36,141.06,103.75,2000-02-28 18:00:00,Tropical
