,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC200001,Alex,-46.32,40.22,977.46,30.4,53.67,14.11,-119.12,2000-01-12 18:00:00,Tropical
1,TC200001,Alex,-45.03,40.61,976.39,28.2,35.5,62.49,-29.68,2000-01-13 00:00:00,Tropical
2,TC200001,Alex,-43.77,40.75,973.33,30.2,36.61,59.14,-32.8,2000-01-13 06:00:00,Tropical
3,TC200001,Alex,-41.65,40.23,975.3,27.8,33.99,50.12,-37.82,2000-01-13 12:00:00,Tropical
4,TC200001,Alex,-38.96,40.16,976.23,24.9,28.15,46.27,-29.63,2000-01-13 18:00:00,Tropical
5,TC200001,Alex,-36.79,39.94,978.07,24.3,24.28,44.65,-42.67,2000-01-14 00:00:00,Tropical
6,TC200001,Alex,-34.62,39.69,979.67,24.2,13.73,31.43,-56.11,2000-01-14 06:00:00,Tropical
7,TC200001,Alex,-32.99,39.31,983.38,27.4,10.32,23.3,-68.23,2000-01-14 12:00:00,Tropical
8,TC200001,Alex,-32.58,34.19,982.63,29.2,10.56,34.23,-85.45,2000-01-14 18:00:00,Tropical
9,TC200001,Alex,-30.02,34.98,983.09,27.0,10.02,54.04,-100.84,2000-01-15 00:00:00,Tropical
10,TC200001,Alex,-28.66,35.78,984.57,25.4,8.77,70.11,-100.32,2000-01-15 06:00:00,Tropical
11,TC200001,Alex,-27.45,35.83,987.63,29.9,13.83,106.27,-86.95,2000-01-15 12:00:00,Tropical
12,TC200001,Alex,-26.21,35.75,987.03,29.4,9.28,129.11,-79.39,2000-01-15 18:00:00,Tropical
13,TC200001,Alex,-25.11,35.28,990.07,28.7,4.59,117.21,-69.84,2000-01-16 00:00:00,Tropical
14,TC200001,Alex,-23.97,34.63,990.53,25.4,5.23,87.93,-72.68,2000-01-16 06:00:00,Tropical
15,TC200001,Alex,-22.46,34.05,994.68,25.8,7.41,39.33,-78.33,2000-01-16 12:00:00,Tropical
16,TC200001,Alex,-20.5,34.25,997.12,24.9,11.85,-3.07,-98.27,2000-01-16 18:00:00,Transition
17,TC200001,Alex,-18.5,35.5,1001.61,16.6,16.67,-27.48,-107.71,2000-01-17 00:00:00,Extratropical
18,TC200001,Alex,-17.0,37.5,1002.83,21.2,19.13,-33.59,-111.28,2000-01-17 06:00:00,Extratropical
19,TC200001,Alex,-16.5,39.0,1005.67,20.8,18.16,-44.11,-104.17,2000-01-17 12:00:00,Extratropical
20,TC200001,Alex,-15.0,40.5,1006.93,16.0,17.72,-45.89,-102.77,2000-01-17 18:00:00,Extratropical
21,TC200001,Alex,-14.25,41.5,1010.1,18.4,19.02,-55.81,-102.61,2000-01-18 00:00:00,Extratropical
22,TC200001,Alex,-13.75,42.0,1011.13,17.4,20.66,-71.38,-99.47,2000-01-18 06:00:00,Extratropical
23,TC200001,Alex,-13.0,42.5,1015.4,15.4,21.14,-84.78,-100.48,2000-01-18 12:00:00,Extratropical
24,TC200004,Dawn,-60.26,38.0,988.78,31.5,37.71,38.56,-153.42,2000-03-13 12:00:00,Tropical
25,TC200004,Dawn,-58.66,38.71,984.16,32.7,31.49,105.19,-20.6,2000-03-13 18:00:00,Tropical
26,TC200004,Dawn,-57.8,40.41,978.97,29.9,22.22,127.52,-16.53,2000-03-14 00:00:00,Tropical
27,TC200004,Dawn,-58.3,41.43,975.17,27.7,16.81,159.47,-7.55,2000-03-14 06:00:00,Tropical
28,TC200004,Dawn,-58.07,41.52,974.18,30.3,13.58,184.57,10.71,2000-03-14 12:00:00,Tropical
29,TC200004,Dawn,-56.85,42.01,976.43,29.9,9.77,189.52,15.2,2000-03-14 18:00:00,Tropical
30,TC200004,Dawn,-55.27,42.84,978.55,27.6,4.33,179.05,16.84,2000-03-15 00:00:00,Tropical
31,TC200004,Dawn,-54.39,44.58,980.33,22.8,5.31,149.61,10.83,2000-03-15 06:00:00,Tropical
32,TC200004,Dawn,-54.7,45.75,982.77,22.1,3.98,110.14,10.89,2000-03-15 12:00:00,Tropical
33,TC200004,Dawn,-54.32,46.69,985.86,20.0,3.55,72.1,18.36,2000-03-15 18:00:00,Tropical
34,TC200004,Dawn,-53.39,48.38,990.26,21.0,2.88,51.22,33.54,2000-03-16 00:00:00,Tropical
35,TC200004,Dawn,-53.56,49.94,991.0,18.8,1.23,31.41,30.12,2000-03-16 06:00:00,Tropical
36,TC200004,Dawn,-54.57,51.03,993.03,15.7,0.72,3.06,4.3,2000-03-16 12:00:00,Tropical
37,TC200004,Dawn,-55.46,51.57,995.91,13.3,-7.09,-8.94,-37.73,2000-03-16 18:00:00,Transition
38,TC200004,Dawn,-51.78,49.43,988.79,20.5,2.56,-2.89,-70.64,2000-03-17 00:00:00,Transition
39,TC200004,Dawn,-48.1,47.29,981.67,27.7,7.72,15.25,-92.92,2000-03-17 06:00:00,Transition
40,TC200004,Dawn,-47.1,49.51,980.65,27.4,8.05,30.66,-83.78,2000-03-17 12:00:00,Transition
41,TC200004,Dawn,-46.63,51.14,980.95,26.1,10.39,37.07,-56.21,2000-03-17 18:00:00,Transition
42,TC200004,Dawn,-45.95,51.83,984.01,25.0,26.66,29.45,-30.69,2000-03-18 00:00:00,Transition
43,TC200004,Dawn,-44.42,52.34,987.66,24.7,27.58,-8.32,-45.21,2000-03-18 06:00:00,Extratropical
44,TC200004,Dawn,-41.94,52.37,993.84,22.8,35.92,-86.02,-78.89,2000-03-18 12:00:00,Extratropical
45,TC200004,Dawn,-39.0,52.5,999.77,28.2,44.72,-140.38,-126.05,2000-03-18 18:00:00,Extratropical
46,TC200004,Dawn,-35.5,52.5,1004.88,29.2,49.89,-159.41,-142.45,2000-03-19 00:00:00,Extratropical
47,TC200013,Phil,-39.38,34.37,1002.7,22.1,25.93,-44.25,-86.66,2000-10-20 00:00:00,Tropical
48,TC200013,Phil,-38.07,34.2,998.37,27.3,14.83,-7.75,-74.6,2000-10-20 06:00:00,Tropical
49,TC200013,Phil,-35.57,32.87,1001.95,22.8,12.65,0.39,-81.4,2000-10-20 12:00:00,Tropical
50,TC200013,Phil,-28.72,35.96,999.16,24.1,10.53,17.76,-66.03,2000-10-20 18:00:00,Tropical
51,TC200013,Phil,-28.45,36.7,996.97,20.8,8.2,18.04,-39.68,2000-10-21 00:00:00,Tropical
52,TC200013,Phil,-27.74,33.88,993.46,19.7,8.01,38.79,-13.42,2000-10-21 06:00:00,Tropical
53,TC200013,Phil,-25.8,34.47,995.42,25.1,5.95,63.51,1.73,2000-10-21 12:00:00,Tropical
54,TC200013,Phil,-24.65,36.03,991.72,22.2,3.14,96.2,22.82,2000-10-21 18:00:00,Tropical
