,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC200403,Andy,-57.65,23.11,1005.98,24.8,-19.36,120.88,-113.39,2004-05-04 12:00:00,Tropical
1,TC200403,Andy,-57.73,23.93,999.74,28.8,-1.48,128.25,-53.07,2004-05-04 18:00:00,Tropical
2,TC200403,Andy,-58.14,23.48,998.43,32.1,-1.17,130.83,-48.96,2004-05-05 00:00:00,Tropical
3,TC200403,Andy,-57.73,23.93,997.44,32.0,5.86,139.73,-30.55,2004-05-05 06:00:00,Tropical
4,TC200403,Andy,-57.21,25.05,996.54,38.3,11.59,138.69,0.11,2004-05-05 12:00:00,Tropical
5,TC200403,Andy,-56.25,26.14,992.46,36.0,16.61,141.63,18.98,2004-05-05 18:00:00,Tropical
6,TC200403,Andy,-56.35,27.18,992.13,32.5,14.84,150.63,28.79,2004-05-06 00:00:00,Tropical
7,TC200403,Andy,-55.82,27.44,993.14,27.5,13.13,149.38,52.14,2004-05-06 06:00:00,Tropical
8,TC200403,Andy,-54.44,28.32,991.6,28.7,10.97,146.07,57.71,2004-05-06 12:00:00,Tropical
9,TC200403,Andy,-53.31,29.21,988.0,28.8,8.86,151.24,69.03,2004-05-06 18:00:00,Tropical
10,TC200403,Andy,-51.78,29.88,987.71,31.0,7.88,164.01,86.29,2004-05-07 00:00:00,Tropical
11,TC200403,Andy,-50.22,30.99,984.69,31.4,6.99,167.42,116.01,2004-05-07 06:00:00,Tropical
12,TC200403,Andy,-49.19,32.59,982.43,35.2,5.99,173.61,126.13,2004-05-07 12:00:00,Tropical
13,TC200403,Andy,-48.82,33.18,978.81,35.5,5.5,175.01,147.29,2004-05-07 18:00:00,Tropical
14,TC200403,Andy,-47.63,32.82,979.39,34.3,6.53,164.69,168.9,2004-05-08 00:00:00,Tropical
15,TC200403,Andy,-45.9,33.24,978.83,35.2,8.19,154.45,177.14,2004-05-08 06:00:00,Tropical
16,TC200403,Andy,-44.72,33.87,979.45,34.7,10.97,154.94,155.67,2004-05-08 12:00:00,Tropical
17,TC200403,Andy,-42.93,35.03,979.32,37.0,18.09,154.21,120.61,2004-05-08 18:00:00,Transition
18,TC200403,Andy,-41.32,36.3,980.31,36.9,30.16,146.3,83.85,2004-05-09 00:00:00,Transition
19,TC200403,Andy,-40.15,37.94,980.78,36.9,42.92,136.7,42.82,2004-05-09 06:00:00,Transition
20,TC200403,Andy,-38.63,39.5,982.03,40.5,52.81,117.04,4.83,2004-05-09 12:00:00,Transition
21,TC200403,Andy,-37.02,41.35,980.07,39.4,60.2,83.87,-20.79,2004-05-09 18:00:00,Transition
22,TC200403,Andy,-35.67,42.87,980.49,36.2,66.17,46.23,-40.01,2004-05-10 00:00:00,Transition
23,TC200403,Andy,-33.79,44.62,982.02,32.4,68.38,8.29,-63.55,2004-05-10 06:00:00,Transition
24,TC200403,Andy,-32.03,47.16,986.81,29.9,69.13,-27.91,-83.96,2004-05-10 12:00:00,Extratropical
25,TC200403,Andy,-30.97,49.62,988.32,27.0,70.16,-59.65,-105.93,2004-05-10 18:00:00,Extratropical
26,TC200503,Lily,-88.37,19.06,1010.55,20.4,-18.54,48.79,-90.89,2005-06-05 18:00:00,Tropical
27,TC200503,Lily,-88.83,19.31,1009.9,20.0,-10.18,110.05,-102.55,2005-06-06 00:00:00,Tropical
28,TC200503,Lily,-89.65,20.68,1009.0,22.3,-8.4,108.55,-112.54,2005-06-06 06:00:00,Tropical
29,TC200503,Lily,-90.39,21.61,1006.61,24.8,-6.95,107.29,-124.43,2005-06-06 12:00:00,Tropical
30,TC200503,Lily,-90.36,22.53,1006.59,24.5,-4.59,94.25,-132.28,2005-06-06 18:00:00,Tropical
31,TC200503,Lily,-90.33,23.44,1006.57,24.3,-2.86,67.14,-130.47,2005-06-07 00:00:00,Tropical
32,TC200503,Lily,-90.29,24.36,1006.55,24.0,0.13,49.61,-120.98,2005-06-07 06:00:00,Tropical
33,TC200503,Lily,-90.26,25.27,1006.53,23.8,-0.07,55.83,-98.86,2005-06-07 12:00:00,Tropical
34,TC200503,Lily,-88.82,26.39,1003.42,27.5,-0.25,56.81,-84.75,2005-06-07 18:00:00,Tropical
35,TC200503,Lily,-87.97,27.19,1000.36,27.3,-0.28,71.24,-68.77,2005-06-08 00:00:00,Tropical
36,TC200503,Lily,-86.77,28.02,999.3,27.4,-1.16,105.22,-64.28,2005-06-08 06:00:00,Tropical
37,TC200503,Lily,-85.58,28.85,998.24,27.6,-1.66,119.92,-63.44,2005-06-08 12:00:00,Tropical
38,TC200503,Lily,-84.38,29.67,997.18,27.8,0.39,127.03,-55.44,2005-06-08 18:00:00,Tropical
39,TC200503,Lily,-81.94,30.7,999.61,22.8,3.56,152.49,-38.4,2005-06-09 00:00:00,Tropical
40,TC200503,Lily,-79.97,31.97,988.91,39.5,7.72,190.91,-20.69,2005-06-09 06:00:00,Tropical
41,TC200503,Lily,-77.06,33.41,979.25,46.8,15.25,211.97,-18.17,2005-06-09 12:00:00,Transition
42,TC200503,Lily,-74.52,35.84,973.25,50.0,24.11,228.34,-25.34,2005-06-09 18:00:00,Transition
43,TC200503,Lily,-72.33,38.18,978.74,41.8,35.3,207.88,-50.89,2005-06-10 00:00:00,Transition
