,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC200001,Alex,A,2,2000-01-16 18:00:00,2000-01-17 00:00:00,2000-01-13 06:00:00,2000-01-13 06:00:00,2000-01-13 00:00:00,973.33,-43.77,40.75,973.33,-43.77,40.75,997.12,-20.5,34.25,1001.61,-18.5,35.5,976.39,-45.03,40.61
1,TC200002,Beatrice,A,0,2000-02-01 12:00:00,,2000-01-29 12:00:00,2000-01-29 12:00:00,2000-01-29 18:00:00,977.86,-55.37,40.08,977.86,-55.37,40.08,995.86,-35.8,30.56,,,,980.02,-52.23,39.59
2,TC200003,Colin,A,-1,,,2000-02-27 06:00:00,2000-02-27 06:00:00,2000-02-25 06:00:00,973.27,-42.98,33.24,973.27,-42.98,33.24,,,,,,,978.58,-52.95,32.72
3,TC200004,Dawn,A,2,2000-03-16 18:00:00,2000-03-18 06:00:00,2000-03-14 12:00:00,2000-03-14 12:00:00,2000-03-13 18:00:00,974.18,-58.07,41.52,974.18,-58.07,41.52,995.91,-55.46,51.57,987.66,-44.42,52.34,984.16,-58.66,38.71
4,TC200008,Janet,A,-1,,,2000-08-31 18:00:00,2000-08-31 18:00:00,2000-08-28 18:00:00,972.85,-96.73,24.55,972.85,-96.73,24.55,,,,,,,1010.74,-81.61,16.4
5,TC200009,Kinen,A,0,2000-09-07 06:00:00,,2000-09-03 18:00:00,2000-09-03 18:00:00,2000-08-29 12:00:00,916.62,-59.07,23.47,916.62,-59.07,23.47,943.24,-65.14,39.41,,,,1013.21,-37.33,14.41
6,TC200010,Lydia,A,0,2000-09-17 06:00:00,,2000-09-12 00:00:00,2000-09-12 00:00:00,2000-09-04 18:00:00,924.42,-67.65,29.01,924.42,-67.65,29.01,952.37,-66.94,36.41,,,,1007.38,-36.72,16.05
7,TC200011,Mario,A,-1,,,2000-09-09 18:00:00,2000-09-09 18:00:00,2000-09-07 12:00:00,953.85,-89.1,28.16,953.85,-89.1,28.16,,,,,,,1000.19,-95.86,22.42
8,TC200012,Nicole,A,-1,,,2000-10-01 12:00:00,2000-10-01 12:00:00,2000-09-27 12:00:00,990.51,-93.66,23.53,990.51,-93.66,23.53,,,,,,,1006.73,-81.89,18.75
9,TC200013,Phil,A,1,2000-10-25 06:00:00,2000-10-25 18:00:00,2000-10-24 06:00:00,2000-10-24 06:00:00,2000-10-20 06:00:00,990.97,-19.94,38.93,990.97,-19.94,38.93,996.31,-14.54,37.14,999.55,-10.63,37.67,998.37,-38.07,34.2
