,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC200403,Andy,A,1,2004-05-08 18:00:00,2004-05-10 12:00:00,2004-05-07 18:00:00,2004-05-07 18:00:00,2004-05-04 18:00:00,978.81,-48.82,33.18,978.81,-48.82,33.18,979.32,-42.93,35.03,986.81,-32.03,47.16,999.74,-57.73,23.93
1,TC200503,Lily,A,1,2005-06-09 12:00:00,2005-06-11 00:00:00,2005-06-09 18:00:00,2005-06-09 06:00:00,2005-06-06 00:00:00,973.25,-74.52,35.84,988.91,-79.97,31.97,979.25,-77.06,33.41,1000.72,-61.75,44.25,1009.9,-88.83,19.31
2,TC200510,Ana,A,1,2005-09-09 12:00:00,2005-09-11 06:00:00,2005-09-07 00:00:00,2005-09-07 00:00:00,2005-08-31 18:00:00,897.7,-60.07,23.57,897.7,-60.07,23.57,933.51,-60.82,37.35,959.0,-43.52,47.85,1008.05,-26.53,13.2
3,TC200706,William,A,3,2007-11-27 00:00:00,2007-11-27 00:00:00,2007-11-24 06:00:00,2007-11-24 06:00:00,2007-11-21 00:00:00,967.62,-46.96,29.03,967.62,-46.96,29.03,1002.21,-35.0,36.0,1002.21,-35.0,36.0,996.42,-65.74,31.41
4,TC200811,Naomi,A,1,2008-10-02 12:00:00,2008-10-05 06:00:00,2008-10-01 06:00:00,2008-10-01 06:00:00,2008-09-25 00:00:00,914.43,-56.81,24.39,914.43,-56.81,24.39,926.67,-51.94,27.77,964.49,-21.75,52.5,1007.26,-40.79,14.65
5,TC200903,Emmelyn,A,1,2009-08-30 00:00:00,2009-08-31 12:00:00,2009-08-26 18:00:00,2009-08-26 18:00:00,2009-08-21 00:00:00,938.74,-66.95,29.43,938.74,-66.95,29.43,948.16,-61.86,40.75,975.3,-45.84,50.14,1009.94,-40.86,11.82
6,TC201003,Mary,A,1,2010-10-24 18:00:00,2010-10-25 12:00:00,2010-10-24 18:00:00,2010-10-24 12:00:00,2010-10-21 12:00:00,979.96,-54.46,39.23,986.73,-57.49,37.13,979.96,-54.46,39.23,1006.41,-42.5,44.54,1008.03,-63.07,29.58
7,TC201305,Bernardo,A,1,2013-08-31 12:00:00,2013-08-31 18:00:00,2013-08-29 06:00:00,2013-08-29 06:00:00,2013-08-19 18:00:00,959.79,-63.59,34.86,959.79,-63.59,34.86,1001.65,-55.68,48.25,1001.43,-51.43,50.32,1007.27,-16.52,12.63
8,TC201308,Flavia,A,1,2013-10-13 18:00:00,2013-10-18 00:00:00,2013-10-10 12:00:00,2013-10-10 12:00:00,2013-10-07 18:00:00,963.94,-58.85,27.67,963.94,-58.85,27.67,997.88,-53.55,32.09,990.17,-15.63,37.21,1008.33,-56.34,28.28
9,TC201404,Oscar,A,1,2014-09-09 06:00:00,2014-09-10 06:00:00,2014-09-07 18:00:00,2014-09-07 18:00:00,2014-08-28 06:00:00,946.7,-47.28,39.13,946.7,-47.28,39.13,960.91,-35.49,45.24,983.3,-23.24,50.47,1005.14,-24.56,10.77
10,TC201506,Facundo,A,1,2015-07-19 18:00:00,2015-07-21 00:00:00,2015-07-19 18:00:00,2015-07-19 12:00:00,2015-07-15 18:00:00,987.83,-62.18,41.71,988.15,-64.94,39.76,987.83,-62.18,41.71,1000.1,-44.75,47.02,1018.93,-80.75,31.37
11,TC201706,Dylan,A,1,2017-12-07 00:00:00,2017-12-07 12:00:00,2017-12-04 06:00:00,2017-12-04 06:00:00,2017-12-02 12:00:00,973.16,-53.54,34.37,973.16,-53.54,34.37,993.85,-36.7,48.9,996.89,-26.94,50.96,979.6,-63.51,31.6
12,TC201803,Jack,A,1,2018-11-16 06:00:00,2018-11-17 06:00:00,2018-11-16 18:00:00,2018-11-16 00:00:00,2018-11-13 06:00:00,978.25,-50.26,45.55,985.15,-54.1,39.14,982.86,-52.82,41.04,979.76,-44.78,49.61,997.81,-56.84,29.51
13,TC201903,Michelle,A,1,2019-10-01 18:00:00,2019-10-04 06:00:00,2019-10-02 18:00:00,2019-10-01 06:00:00,2019-09-28 12:00:00,946.6,-29.32,33.02,960.17,-39.2,31.36,973.07,-38.15,30.16,1001.37,-24.22,43.23,1010.97,-38.72,18.42
14,TC202006,Grace,A,1,2020-08-19 18:00:00,2020-08-20 06:00:00,2020-08-18 18:00:00,2020-08-18 18:00:00,2020-08-10 18:00:00,947.9,-75.55,36.12,947.9,-75.55,36.12,988.26,-72.59,43.04,998.72,-67.32,47.37,1007.71,-33.72,16.7
