,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC210001,Alex,-36.2,31.52,1011.0,20.4,46.03,-119.17,-274.54,2100-02-02 18:00:00,Tropical
1,TC210001,Alex,-36.05,31.78,1005.8,23.9,-9.89,140.21,-117.67,2100-02-03 00:00:00,Tropical
2,TC210001,Alex,-36.82,30.79,997.5,30.5,-8.0,133.68,-116.45,2100-02-03 06:00:00,Tropical
3,TC210001,Alex,-37.27,29.68,996.57,35.5,-0.58,108.75,-129.38,2100-02-03 12:00:00,Tropical
4,TC210001,Alex,-37.95,27.58,993.42,35.4,-4.96,95.81,-110.09,2100-02-03 18:00:00,Tropical
5,TC210001,Alex,-36.76,25.67,996.11,21.3,2.09,74.97,-91.9,2100-02-04 00:00:00,Tropical
6,TC210001,Alex,-34.84,25.9,993.8,21.3,5.07,63.9,-96.8,2100-02-04 06:00:00,Tropical
7,TC210001,Alex,-34.58,27.5,991.82,24.8,7.19,52.4,-100.97,2100-02-04 12:00:00,Tropical
8,TC210001,Alex,-36.13,28.52,992.71,25.7,4.45,51.78,-77.34,2100-02-04 18:00:00,Tropical
9,TC210001,Alex,-37.52,27.93,994.61,24.4,0.64,61.46,-76.1,2100-02-05 00:00:00,Tropical
10,TC210001,Alex,-38.91,27.34,996.52,23.1,-1.73,56.75,-83.59,2100-02-05 06:00:00,Tropical
11,TC210001,Alex,-40.3,26.75,998.43,21.8,-0.7,49.78,-81.65,2100-02-05 12:00:00,Tropical
12,TC210003,Colin,-47.15,41.53,953.85,43.3,53.39,120.75,-47.77,2100-03-01 00:00:00,Tropical
13,TC210003,Colin,-45.1,44.65,944.96,41.6,21.05,202.41,206.43,2100-03-01 06:00:00,Tropical
14,TC210003,Colin,-45.04,45.78,943.01,34.9,15.07,185.73,208.32,2100-03-01 12:00:00,Tropical
15,TC210003,Colin,-44.74,46.27,944.13,33.5,4.69,170.02,205.68,2100-03-01 18:00:00,Tropical
16,TC210003,Colin,-44.3,46.37,947.03,31.6,0.23,166.41,203.28,2100-03-02 00:00:00,Tropical
17,TC210003,Colin,-44.03,46.44,948.11,28.4,-3.84,137.08,175.54,2100-03-02 06:00:00,Tropical
18,TC210003,Colin,-44.3,45.62,953.49,26.9,-2.38,96.97,127.05,2100-03-02 12:00:00,Tropical
19,TC210003,Colin,-43.35,44.13,958.18,28.7,5.3,69.81,66.93,2100-03-02 18:00:00,Tropical
20,TC210003,Colin,-40.91,42.67,963.47,26.3,12.06,43.78,16.1,2100-03-03 00:00:00,Tropical
21,TC210003,Colin,-38.04,41.85,965.59,24.0,11.87,21.42,-19.22,2100-03-03 06:00:00,Tropical
22,TC210003,Colin,-35.46,41.48,969.19,23.0,11.57,3.1,-39.1,2100-03-03 12:00:00,Tropical
23,TC210003,Colin,-32.3,41.93,970.11,22.5,13.47,-8.9,-48.41,2100-03-03 18:00:00,Transition
24,TC210003,Colin,-29.14,42.38,971.02,21.9,17.92,-2.64,-52.65,2100-03-04 00:00:00,Extratropical
25,TC210003,Colin,-27.09,43.99,968.64,21.3,23.93,18.64,-52.73,2100-03-04 06:00:00,Extratropical
