,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC210003,Colin,-47.15,41.53,953.85,43.3,53.39,120.75,-47.77,2100-03-01 00:00:00,Tropical
1,TC210003,Colin,-45.1,44.65,944.96,41.6,21.05,202.41,206.43,2100-03-01 06:00:00,Tropical
2,TC210003,Colin,-45.04,45.78,943.01,34.9,15.07,185.73,208.32,2100-03-01 12:00:00,Tropical
3,TC210003,Colin,-44.74,46.27,944.13,33.5,4.69,170.02,205.68,2100-03-01 18:00:00,Tropical
4,TC210003,Colin,-44.3,46.37,947.03,31.6,0.23,166.41,203.28,2100-03-02 00:00:00,Tropical
5,TC210003,Colin,-44.03,46.44,948.11,28.4,-3.84,137.08,175.54,2100-03-02 06:00:00,Tropical
6,TC210003,Colin,-44.3,45.62,953.49,26.9,-2.38,96.97,127.05,2100-03-02 12:00:00,Tropical
7,TC210003,Colin,-43.35,44.13,958.18,28.7,5.3,69.81,66.93,2100-03-02 18:00:00,Tropical
8,TC210003,Colin,-40.91,42.67,963.47,26.3,12.06,43.78,16.1,2100-03-03 00:00:00,Tropical
9,TC210003,Colin,-38.04,41.85,965.59,24.0,11.87,21.42,-19.22,2100-03-03 06:00:00,Tropical
10,TC210003,Colin,-35.46,41.48,969.19,23.0,11.57,3.1,-39.1,2100-03-03 12:00:00,Tropical
11,TC210003,Colin,-32.3,41.93,970.11,22.5,13.47,-8.9,-48.41,2100-03-03 18:00:00,Transition
12,TC210003,Colin,-29.14,42.38,971.02,21.9,17.92,-2.64,-52.65,2100-03-04 00:00:00,Extratropical
13,TC210003,Colin,-27.09,43.99,968.64,21.3,23.93,18.64,-52.73,2100-03-04 06:00:00,Extratropical
14,TC210003,Colin,-26.62,45.55,968.02,24.3,20.16,48.23,-52.18,2100-03-04 12:00:00,Extratropical
15,TC210003,Colin,-26.58,46.69,966.29,26.5,14.12,74.52,-50.79,2100-03-04 18:00:00,Extratropical
16,TC210003,Colin,-26.13,47.09,967.4,25.7,7.06,99.67,-43.4,2100-03-05 00:00:00,Extratropical
