,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC210003,Colin,A,2,2100-03-03 18:00:00,2100-03-04 00:00:00,2100-03-01 12:00:00,2100-03-01 12:00:00,2100-03-01 06:00:00,943.01,-45.04,45.78,943.01,-45.04,45.78,970.11,-32.3,41.93,971.02,-29.14,42.38,944.96,-45.1,44.65
1,TC210005,Ernest,A,2,2100-09-01 06:00:00,2100-09-01 12:00:00,2100-08-28 12:00:00,2100-08-28 12:00:00,2100-08-21 06:00:00,968.16,-79.09,29.45,968.16,-79.09,29.45,1003.3,-76.85,39.42,1001.84,-74.73,41.55,1009.56,-29.92,13.56
2,TC210103,Lydia,A,1,2101-07-26 12:00:00,2101-07-28 00:00:00,2101-07-26 18:00:00,2101-07-26 06:00:00,2101-07-21 00:00:00,971.18,-50.38,41.08,972.98,-56.11,37.49,971.89,-53.14,39.28,992.45,-37.66,46.61,1006.8,-78.09,26.66
3,TC210105,Nicole,A,1,2101-09-12 18:00:00,2101-09-14 18:00:00,2101-09-08 18:00:00,2101-09-08 18:00:00,2101-08-31 18:00:00,902.97,-57.85,23.01,902.97,-57.85,23.01,934.13,-60.07,35.72,962.56,-47.38,49.02,1007.41,-16.98,11.22
4,TC210106,Phil,A,1,2101-09-22 18:00:00,2101-09-23 18:00:00,2101-09-21 00:00:00,2101-09-21 00:00:00,2101-09-14 18:00:00,987.95,-57.9,27.28,987.95,-57.9,27.28,997.21,-55.88,36.75,1001.49,-44.6,45.12,1008.55,-33.91,12.24
5,TC210107,Song,A,1,2101-10-21 00:00:00,2101-10-22 12:00:00,2101-10-15 18:00:00,2101-10-15 18:00:00,2101-10-09 12:00:00,972.53,-44.38,34.56,972.53,-44.38,34.56,1000.6,-31.27,43.82,1009.88,-14.6,43.7,1012.97,-41.84,19.77
6,TC210108,Tony,A,1,2101-10-31 12:00:00,2101-11-03 00:00:00,2101-11-03 06:00:00,2101-10-31 00:00:00,2101-10-29 12:00:00,958.33,-57.25,45.25,993.43,-83.39,18.79,991.45,-82.16,20.04,966.28,-60.25,42.5,1004.12,-80.42,12.14
7,TC210303,Jacob,A,1,2103-09-28 12:00:00,2103-10-01 12:00:00,2103-09-30 06:00:00,2103-09-23 18:00:00,2103-09-13 18:00:00,973.1,-65.86,41.49,986.2,-65.04,24.31,996.27,-72.1,34.29,990.47,-48.82,48.66,1007.88,-30.37,10.25
8,TC210406,Samson,A,1,2104-11-04 06:00:00,2104-11-04 12:00:00,2104-11-03 00:00:00,2104-11-03 00:00:00,2104-11-01 00:00:00,983.4,-80.23,30.79,983.4,-80.23,30.79,1002.87,-78.57,33.49,1003.32,-77.3,34.64,1001.5,-64.44,31.49
9,TC210502,Andy,A,3,2105-02-22 12:00:00,2105-02-22 12:00:00,2105-02-19 06:00:00,2105-02-19 06:00:00,2105-02-18 06:00:00,963.17,-42.91,37.92,963.17,-42.91,37.92,1005.2,-15.75,37.5,1005.2,-15.75,37.5,982.06,-55.81,36.86
