,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC210103,Lydia,A,1,2101-07-26 12:00:00,2101-07-28 00:00:00,2101-07-26 18:00:00,2101-07-26 06:00:00,2101-07-21 00:00:00,971.18,-50.38,41.08,972.98,-56.11,37.49,971.89,-53.14,39.28,992.45,-37.66,46.61,1006.8,-78.09,26.66
1,TC210105,Nicole,A,1,2101-09-12 18:00:00,2101-09-14 18:00:00,2101-09-08 18:00:00,2101-09-08 18:00:00,2101-08-31 18:00:00,902.97,-57.85,23.01,902.97,-57.85,23.01,934.13,-60.07,35.72,962.56,-47.38,49.02,1007.41,-16.98,11.22
2,TC210106,Phil,A,1,2101-09-22 18:00:00,2101-09-23 18:00:00,2101-09-21 00:00:00,2101-09-21 00:00:00,2101-09-14 18:00:00,987.95,-57.9,27.28,987.95,-57.9,27.28,997.21,-55.88,36.75,1001.49,-44.6,45.12,1008.55,-33.91,12.24
3,TC210303,Jacob,A,1,2103-09-28 12:00:00,2103-10-01 12:00:00,2103-09-30 06:00:00,2103-09-23 18:00:00,2103-09-13 18:00:00,973.1,-65.86,41.49,986.2,-65.04,24.31,996.27,-72.1,34.29,990.47,-48.82,48.66,1007.88,-30.37,10.25
4,TC210406,Samson,A,1,2104-11-04 06:00:00,2104-11-04 12:00:00,2104-11-03 00:00:00,2104-11-03 00:00:00,2104-11-01 00:00:00,983.4,-80.23,30.79,983.4,-80.23,30.79,1002.87,-78.57,33.49,1003.32,-77.3,34.64,1001.5,-64.44,31.49
5,TC210803,Bryan,A,3,2108-10-11 06:00:00,2108-10-11 06:00:00,2108-10-05 18:00:00,2108-10-05 18:00:00,2108-09-30 12:00:00,946.47,-31.96,35.06,946.47,-31.96,35.06,1000.82,-36.27,46.14,1000.82,-36.27,46.14,1009.31,-54.49,27.62
6,TC210806,Esther,A,1,2108-11-11 06:00:00,2108-11-12 00:00:00,2108-11-10 18:00:00,2108-11-10 18:00:00,2108-11-02 18:00:00,957.55,-34.21,38.14,957.55,-34.21,38.14,966.57,-31.84,44.42,978.85,-22.88,49.5,1007.77,-49.67,30.88
7,TC211001,Carson,A,1,2110-08-30 12:00:00,2110-08-31 12:00:00,2110-08-27 00:00:00,2110-08-27 00:00:00,2110-08-18 06:00:00,920.65,-67.41,30.05,920.65,-67.41,30.05,938.26,-56.41,43.25,977.4,-38.13,47.96,1007.4,-31.22,15.15
8,TC211305,Hazel,A,1,2113-06-19 00:00:00,2113-06-19 18:00:00,2113-06-18 00:00:00,2113-06-18 00:00:00,2113-06-10 12:00:00,959.56,-71.9,33.49,959.56,-71.9,33.49,968.89,-67.21,38.58,980.91,-60.91,44.87,1003.72,-78.75,13.35
9,TC211405,Alberto,A,1,2114-08-26 00:00:00,2114-08-28 00:00:00,2114-08-25 00:00:00,2114-08-25 00:00:00,2114-08-13 12:00:00,915.17,-63.64,32.17,915.17,-63.64,32.17,928.16,-60.6,37.45,973.34,-46.87,49.91,1005.95,-20.82,14.53
10,TC211503,Kyle,A,1,2115-12-12 06:00:00,2115-12-12 12:00:00,2115-12-08 06:00:00,2115-12-08 06:00:00,2115-12-03 06:00:00,962.97,-56.8,35.5,962.97,-56.8,35.5,990.05,-46.73,44.22,990.27,-41.24,46.11,1002.28,-58.25,25.62
11,TC212209,Sergio,A,2,2122-12-17 12:00:00,2122-12-17 18:00:00,2122-12-14 06:00:00,2122-12-14 06:00:00,2122-12-12 18:00:00,985.93,-43.05,34.43,985.93,-43.05,34.43,1005.11,-20.57,43.29,1007.99,-17.5,44.0,1002.82,-51.77,28.68
12,TC212307,Ernest,A,1,2123-10-06 00:00:00,2123-10-06 06:00:00,2123-10-03 18:00:00,2123-10-03 18:00:00,2123-09-19 00:00:00,945.6,-55.76,39.55,945.6,-55.76,39.55,1002.7,-44.3,42.14,1002.04,-41.99,43.7,1011.15,-25.57,9.13
13,TC212402,Harrison,A,1,2124-10-02 00:00:00,2124-10-07 00:00:00,2124-09-30 06:00:00,2124-09-30 06:00:00,2124-09-19 18:00:00,923.72,-55.92,22.89,923.72,-55.92,22.89,924.02,-53.05,25.97,988.26,-27.32,49.92,1012.25,-13.08,8.38
14,TC212905,Marco,A,1,2129-10-28 06:00:00,2129-10-29 06:00:00,2129-10-28 12:00:00,2129-10-28 00:00:00,2129-10-22 00:00:00,963.18,-58.26,42.76,967.11,-62.06,40.26,963.38,-60.53,41.82,984.38,-48.02,46.75,1002.98,-57.37,38.42
15,TC213003,Winnie,A,1,2130-09-28 18:00:00,2130-09-29 00:00:00,2130-09-26 06:00:00,2130-09-26 06:00:00,2130-09-17 12:00:00,971.08,-74.07,29.52,971.08,-74.07,29.52,1001.79,-73.39,41.08,998.55,-70.49,43.27,1008.28,-38.15,13.68
16,TC213105,Helena,B,1,2131-07-05 12:00:00,2131-07-06 06:00:00,2131-07-05 06:00:00,2131-07-05 06:00:00,2131-06-29 18:00:00,981.88,-61.69,42.81,981.88,-61.69,42.81,986.35,-58.24,44.46,996.17,-45.0,50.75,1013.35,-76.18,31.02
17,TC213409,Daniel,B,1,2134-09-20 06:00:00,2134-09-22 00:00:00,2134-09-18 06:00:00,2134-09-18 06:00:00,2134-09-13 12:00:00,923.37,-79.63,26.44,923.37,-79.63,26.44,956.11,-77.99,34.43,991.81,-70.49,42.75,1009.42,-48.95,14.94
18,TC213603,Blaise,B,1,2136-06-24 00:00:00,2136-06-24 06:00:00,2136-06-22 18:00:00,2136-06-22 18:00:00,2136-06-19 12:00:00,930.27,-63.58,33.09,930.27,-63.58,33.09,972.58,-46.73,40.88,982.56,-42.37,43.82,1000.39,-68.74,41.87
19,TC213606,Frederick,B,1,2136-10-01 12:00:00,2136-10-03 18:00:00,2136-09-30 00:00:00,2136-09-30 00:00:00,2136-09-23 06:00:00,942.75,-53.9,25.8,942.75,-53.9,25.8,957.06,-48.11,32.42,984.42,-29.69,53.45,1006.42,-29.23,15.18
20,TC213607,Gwyneth,B,1,2136-10-13 06:00:00,2136-10-21 18:00:00,2136-10-14 00:00:00,2136-10-11 18:00:00,2136-10-03 18:00:00,920.08,-76.35,29.82,932.41,-81.61,19.32,930.46,-77.57,26.36,987.64,-31.04,49.12,1008.38,-82.05,13.98
21,TC213903,Kyan,B,1,2139-10-26 06:00:00,2139-10-27 18:00:00,2139-10-26 00:00:00,2139-10-26 00:00:00,2139-10-18 12:00:00,934.51,-47.24,34.36,934.51,-47.24,34.36,944.41,-46.44,36.45,992.04,-31.05,45.72,1009.28,-39.47,35.1
22,TC214005,Angelo,B,1,2140-09-26 18:00:00,2140-09-29 00:00:00,2140-09-27 18:00:00,2140-09-26 00:00:00,2140-09-15 00:00:00,904.89,-58.16,40.25,907.21,-67.51,31.15,909.67,-65.21,34.25,955.36,-49.91,49.58,1011.25,-35.66,13.3
23,TC214101,Inaki,B,1,2141-05-10 00:00:00,2141-05-10 12:00:00,2141-05-04 12:00:00,2141-05-04 12:00:00,2141-05-02 18:00:00,986.94,-47.25,31.35,986.94,-47.25,31.35,1004.66,-45.61,36.29,1005.13,-42.68,40.71,1000.45,-49.34,27.24
24,TC214407,Michelle,B,3,2144-07-25 06:00:00,2144-07-25 06:00:00,2144-07-21 18:00:00,2144-07-21 18:00:00,2144-07-15 18:00:00,938.74,-59.94,35.16,938.74,-59.94,35.16,996.7,-36.11,48.99,996.7,-36.11,48.99,1010.55,-46.83,17.59
25,TC214504,Harrison,B,1,2145-09-02 12:00:00,2145-09-03 18:00:00,2145-08-31 00:00:00,2145-08-31 00:00:00,2145-08-18 18:00:00,951.68,-60.69,37.17,951.68,-60.69,37.17,968.19,-57.5,42.83,1000.9,-40.22,51.21,1009.16,-25.22,13.19
26,TC214807,Nicholas,B,1,2148-06-05 12:00:00,2148-06-06 00:00:00,2148-06-04 12:00:00,2148-06-04 12:00:00,2148-06-01 00:00:00,949.32,-76.51,34.5,949.32,-76.51,34.5,974.54,-70.71,40.33,988.38,-64.38,44.48,1008.85,-71.25,23.16
27,TC214810,Tiffany,B,3,2148-09-21 12:00:00,2148-09-21 12:00:00,2148-09-13 12:00:00,2148-09-13 12:00:00,2148-09-03 00:00:00,957.4,-54.94,31.85,957.4,-54.94,31.85,1006.3,-39.96,45.84,1006.3,-39.96,45.84,1006.9,-29.76,11.67
28,TC215301,Mandy,B,1,2153-06-13 18:00:00,2153-06-14 18:00:00,2153-06-05 18:00:00,2153-06-05 18:00:00,2153-06-01 00:00:00,918.23,-86.52,27.51,918.23,-86.52,27.51,999.69,-59.34,42.7,999.17,-51.41,45.56,1010.53,-85.77,20.91
29,TC215407,Laura,B,1,2154-06-14 00:00:00,2154-06-14 06:00:00,2154-06-11 12:00:00,2154-06-11 12:00:00,2154-06-05 00:00:00,951.46,-77.94,33.21,951.46,-77.94,33.21,984.22,-68.59,42.84,986.17,-66.99,43.9,1008.38,-88.36,16.58
30,TC215907,Manfred,B,1,2159-09-13 12:00:00,2159-09-14 00:00:00,2159-09-07 00:00:00,2159-09-07 00:00:00,2159-08-30 18:00:00,904.05,-53.8,20.78,904.05,-53.8,20.78,952.62,-50.48,45.84,956.15,-47.75,49.91,1010.19,-13.58,8.15
31,TC215912,Yan,B,2,2159-11-04 06:00:00,2159-11-04 12:00:00,2159-11-02 00:00:00,2159-11-02 00:00:00,2159-10-25 12:00:00,989.54,-82.96,19.14,989.54,-82.96,19.14,1001.43,-78.72,23.25,1003.53,-78.25,24.14,1008.65,-80.02,13.28
32,TC216105,Rachel,B,1,2161-09-28 12:00:00,2161-09-30 12:00:00,2161-09-28 12:00:00,2161-09-28 06:00:00,2161-09-12 00:00:00,902.08,-76.81,29.49,908.39,-77.72,28.14,902.08,-76.81,29.49,970.65,-60.52,46.98,1010.28,-22.62,15.69
33,TC216107,Torie,B,3,2161-09-29 12:00:00,2161-09-29 12:00:00,2161-09-26 00:00:00,2161-09-26 00:00:00,2161-09-15 06:00:00,905.41,-58.22,30.8,905.41,-58.22,30.8,978.43,-52.02,49.58,978.43,-52.02,49.58,1005.54,-18.8,15.68
34,TC216303,Zoe,C,1,2163-09-04 00:00:00,2163-09-06 18:00:00,2163-09-04 00:00:00,2163-09-03 12:00:00,2163-08-24 18:00:00,907.51,-65.89,32.08,913.12,-67.65,29.01,907.51,-65.89,32.08,978.2,-47.97,49.09,1006.27,-29.08,12.81
